Stock	Ticker	DivDate1	DivDate2	DivDate3	DivDate4	DivDate5	DivDate6	DivAmt1	DivAmt2	DivAmt3	DivAmt4	DivAmt5	DivAmt6	LastYrDivPerShare	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
AAVAS	NSE:AAVAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGARWALEYE	NSE:AGARWALEYE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGELONE	NSE:ANGELONE	5/30/2025	3/20/2025	1/21/2025	1/23/2024	10/20/2023	7/21/2023	26	11	11	0	0	0	48	11	0	11	0	26	0	0	0	0	0	0	0
ASIANPAINT	NSE:ASIANPAINT	11/18/2025	06-10-2025	11/19/2024	06-11-2024	11-03-2023	06-09-2023	4.5	20.55	0	0	0	0	25.05	0	0	0	0	0	21	0	0	0	0	5	0
ATHERENERG	NSE:ATHERENERG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AWHCL	NSE:AWHCL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AXISBANK	NSE:AXISBANK	07-04-2025	07-12-2024	07-07-2023	07-07-2022	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
BAJFINANCE	NSE:BAJFINANCE	5/30/2025	05-09-2025	6/21/2024	6/30/2023	6/30/2022	07-08-2021	4.4	1.2	0	0	0	0	5.6	0	0	0	0	6	0	0	0	0	0	0	0
BANKBARODA	NSE:BANKBARODA	06-06-2025	6/28/2024	6/30/2023	6/17/2022	0	0	8.35	0	0	0	0	0	8.35	0	0	0	0	0	8	0	0	0	0	0	0
BANKINDIA	NSE:BANKINDIA	6/20/2025	6/18/2024	6/20/2023	07-07-2022	0	0	4.05	0	0	0	0	0	4.05	0	0	0	0	0	4	0	0	0	0	0	0
BEL	NSE:BEL	8/14/2025	03-11-2025	8/14/2024	3/22/2024	02-09-2024	8/17/2023	0.9	1.5	0	0	0	0	2.4	0	0	2	0	0	0	0	1	0	0	0	0
BHEL	NSE:BHEL	08-01-2025	08-09-2024	08-11-2023	9/15/2022	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	1	0	0	0	0
BLUESTONE	NSE:BLUESTONE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPCL	NSE:BPCL	11-07-2025	7/31/2025	1/29/2025	08-09-2024	12-12-2023	08-11-2023	7.5	5	5	0	0	0	17.5	5	0	0	0	0	0	5	0	0	0	8	0
